"state_name","race_grp","pop_share_agg","pop_weighted"
"Kentucky","Black",0.0722147684622965,38488.6069917346
"Kentucky","Other",0.0104802683893635,5497.92792947093
"Kentucky","American Indian or Alaska Native",0.00133786122725916,706.965980933966
"Kentucky","Native Hawaiian or Other Pacific Islander",0.000530245124998105,279.915399938915
"Louisiana","Black",0.282686658510071,155214.110722144
"Louisiana","White",0.648149272149497,348177.00240048
"Louisiana","Hispanic",0.0382506715538155,21336.5183036607
"Louisiana","Other",0.01177808261217,6582.52270454091
"Louisiana","American Indian or Alaska Native",0.00414498557501472,2304.76665333067
"Louisiana","Asian",0.0148682484369419,8280.81546309262
"Louisiana","Native Hawaiian or Other Pacific Islander",0.000122081162489803,65.000400080016
"Maine","White",0.958775960905531,148013.326659974
"Maine","Other",0.00901485305884521,1433.34674736065
"Maine","Hispanic",0.00990409917715231,1495.27464546173
"Maine","Black",0.00683481757623806,1156.9046666051
"Maine","Asian",0.00845378076276681,1403.96981360703
"Maine","American Indian or Alaska Native",0.00672411290440315,1057.19222659681
"Maine","Native Hawaiian or Other Pacific Islander",0.000292375615063178,37.7733984402266
"Maryland","Black",0.278977768218013,186072.48767924
"Maryland","White",0.559945132489406,349046.156442814
"Maryland","Asian",0.0635546665397532,42300.8333393092
"Maryland","Other",0.0196645995420845,13591.1438127919
"Maryland","Hispanic",0.074976397906293,53185.6288644804
"Maryland","American Indian or Alaska Native",0.00262123212905328,1644.85694331514
"Maryland","Native Hawaiian or Other Pacific Islander",0.0002602031753966,197.484961654515
"Massachusetts","White",0.775416930622582,795489.970588235
"Massachusetts","Other",0.018960310855406,23361.8333333333
"Massachusetts","Hispanic",0.0859335369255693,105821.421568627
"Massachusetts","Asian",0.057877491338935,70108.431372549
"Massachusetts","Black",0.0592609168905111,68184.1274509804
"Massachusetts","American Indian or Alaska Native",0.00216652868067793,2037.55882352941
"Massachusetts","Native Hawaiian or Other Pacific Islander",0.0003842846863186,382.254901960784
"Michigan","White",0.804894813692144,1047929.90780623
"Michigan","Hispanic",0.0331203092423266,45111.976113258
"Michigan","Asian",0.0269297097234749,35999.026929186
"Michigan","Other",0.0150531647273491,20331.232324199
"Michigan","Black",0.115291065876611,153689.327596492
"Michigan","American Indian or Alaska Native",0.00456548593603428,6421.60073045
"Michigan","Native Hawaiian or Other Pacific Islander",0.000145450802060065,270.241176365
"Minnesota","Hispanic",0.0334914073829295,59603.6884578437
"Minnesota","White",0.861180412882996,1135209.56271981
"Minnesota","Black",0.0434736530495275,72128.4894766515
"Minnesota","Other",0.0153135453424937,27651.5961456656
"Minnesota","Asian",0.039072737166624,64835.5128515635
"Minnesota","American Indian or Alaska Native",0.0071594804275774,10475.6477845586
"Minnesota","Native Hawaiian or Other Pacific Islander",0.000308763747851498,648.72977348573
"Mississippi","Black",0.331284272250159,135079.368300557
"Mississippi","White",0.630688386253168,239721.441568967
"Mississippi","Asian",0.00852385248247245,3698.31238743831
"Mississippi","Hispanic",0.0184547790954282,7719.00688815801
"Mississippi","Other",0.00772491855750877,3228.18867773519
"Mississippi","American Indian or Alaska Native",0.00327366450801505,1275.87454422987
"Mississippi","Native Hawaiian or Other Pacific Islander",0.000050126853248776,20.2238470032238
"Missouri","White",0.840229917238847,519706.426210088
"Missouri","Black",0.0971863984219756,63694.5201835605
"Missouri","Other",0.012621386468989,8634.35749193536
"Missouri","Asian",0.0178642542050031,12294.6695391347
