"state_name","race_grp","Race Categories Include Hispanic Individuals","value","value_adj","pop_share_agg","pop_weighted","pop_share_agg_adj","effective_demand"
"Kentucky","Asian","",0.01,0.0108695652173913,0.0127162864024587,6775.80573821781,0.0131830230307006,0.824512343798402
"Kentucky","Black","",0.05,0.0543478260869565,0.0722147684622965,38488.6069917346,0.0748653282621174,0.725941197995883
"Kentucky","Hispanic","",,,0.0230559954969057,12260.3893492914,,
"Kentucky","Native Hawaiian or Other Pacific Islander","",,,0.000530245124998105,279.915399938915,,
"Kentucky","White","",0.86,0.934782608695652,0.879664574896718,464623.033520853,0.911951648707182,1.02503527464514
"Louisiana","American Indian or Alaska Native","",,,0.00414498557501472,2304.76665333067,,
"Louisiana","Asian","",0.02,0.0217391304347826,0.0148682484369419,8280.81546309262,0.0157218808646341,1.38273089727351
"Louisiana","Black","",0.27,0.293478260869565,0.282686658510071,155214.110722144,0.298916579580032,0.981806567176341
"Louisiana","Hispanic","",,,0.0382506715538155,21336.5183036607,,
"Louisiana","Native Hawaiian or Other Pacific Islander","",,,0.000122081162489803,65.000400080016,,
"Louisiana","White","",0.63,0.684782608695652,0.648149272149497,348177.00240048,0.685361539555334,0.999155291293326
"Maine","American Indian or Alaska Native","",0.01,0.0099009900990099,0.00672411290440315,1057.19222659681,0.00678728370592893,1.45875589234041
"Maine","Asian","",0.01,0.0099009900990099,0.00845378076276681,1403.96981360703,0.00853320121782155,1.1602902411737
"Maine","Black","",0.01,0.0099009900990099,0.00683481757623806,1156.9046666051,0.00689902841128972,1.43512818164478
"Maine","Hispanic","",0.01,0.0099009900990099,0.00990409917715231,1495.27464546173,0.0099971448907366,0.990381774718921
"Maine","Native Hawaiian or Other Pacific Islander","",,,0.000292375615063178,37.7733984402266,,
"Maine","White","",0.97,0.96039603960396,0.958775960905531,148013.326659974,0.967783341774223,0.992366781022786
"Maryland","American Indian or Alaska Native","Yes",0.01,0.0105263157894737,0.00262123212905328,1644.85694331514,0.0026745214411315,3.93577543540663
"Maryland","Asian","Yes",0.07,0.0736842105263158,0.0635546665397532,42300.8333393092,0.0648467247370129,1.13628268544238
"Maryland","Black","Yes",0.23,0.228886872353297,0.278977768218013,186072.48767924,0.28464935036775,0.804101158346538
"Maryland","Hispanic","Yes",0.05,0.05,0.074976397906293,53185.6288644804,0.0765006584333346,0.653589145818553
"Maryland","Native Hawaiian or Other Pacific Islander","Yes",,,0.0002602031753966,197.484961654515,,
"Maryland","White","Yes",0.64,0.636902601330913,0.559945132489406,349046.156442814,0.571328745020771,1.11477429917824
"Massachusetts","American Indian or Alaska Native","",,,0.00216652868067793,2037.55882352941,,
"Massachusetts","Asian","",0.05,0.0505050505050505,0.057877491338935,70108.431372549,0.0591498715741047,0.85384886156137
"Massachusetts","Black","",0.06,0.0606060606060606,0.0592609168905111,68184.1274509804,0.0605637103880378,1.00069926723035
"Massachusetts","Hispanic","",0.06,0.0606060606060606,0.0859335369255693,105821.421568627,0.0878227019773512,0.69009560445647
"Massachusetts","Native Hawaiian or Other Pacific Islander","",,,0.0003842846863186,382.254901960784,,
"Massachusetts","White","",0.82,0.828282828282828,0.775416930622582,795489.970588235,0.792463716060506,1.04519968737545
"Michigan","American Indian or Alaska Native","",0.01,0.0103092783505155,0.00456548593603428,6421.60073045,0.00463594589531228,2.22377020425106
"Michigan","Asian","",0.05,0.0515463917525773,0.0269297097234749,35999.026929186,0.0273453207399295,1.88501690080049
"Michigan","Black","",0.08,0.0824742268041237,0.115291065876611,153689.327596492,0.11707037347291,0.704484186370247
"Michigan","Hispanic","",0.02,0.0206185567010309,0.0331203092423266,45111.976113258,0.0336314608860256,0.613073478160987
"Michigan","Native Hawaiian or Other Pacific Islander","",,,0.000145450802060065,270.241176365,,
"Michigan","White","",0.81,0.835051546391753,0.804894813692144,1047929.90780623,0.817316899005823,1.02169861825628
"Minnesota","American Indian or Alaska Native","",0.01,0.01,0.0071594804275774,10475.6477845586,0.00727310309212858,1.37492895031594
"Minnesota","Asian","",0.03,0.03,0.039072737166624,64835.5128515635,0.0396928308386563,0.755803991958754
"Minnesota","Black","",0.04,0.04,0.0434736530495275,72128.4894766515,0.0441635903078562,0.905723464083591
"Minnesota","Hispanic","",0.02,0.02,0.0334914073829295,59603.6884578437,0.0340229240180976,0.587838952036032
"Minnesota","Native Hawaiian or Other Pacific Islander","",,,0.000308763747851498,648.72977348573,,
"Minnesota","White","",0.9,0.9,0.861180412882996,1135209.56271981,0.874847551743261,1.02875066428044
"Mississippi","American Indian or Alaska Native","Yes",,,0.00327366450801505,1275.87454422987,,
"Mississippi","Asian","Yes",0.02,0.0212765957446809,0.00852385248247245,3698.31238743831,0.00861908222170613,2.46854539699114
"Mississippi","Black","Yes",0.32,0.333469010175763,0.331284272250159,135079.368300557,0.334985429083114,0.99547317950067
"Mississippi","Hispanic","Yes",0.02,0.02,0.0184547790954282,7719.00688815801,0.0186609586139601,1.07175630222116
"Mississippi","Native Hawaiian or Other Pacific Islander","Yes",,,0.000050126853248776,20.2238470032238,,
"Mississippi","White","Yes",0.6,0.625254394079556,0.630688386253168,239721.441568967,0.63773453008122,0.980430515499804
"Missouri","American Indian or Alaska Native","Yes",,,0.00350961518462271,2335.51040980151,,
"Missouri","Asian","Yes",0.02,0.021505376344086,0.0178642542050031,12294.6695391347,0.0181726246435635,1.18339407575355
"Missouri","Black","Yes",0.07,0.072191894127378,0.0971863984219756,63694.5201835605,0.0988640174235621,0.730214045602527
"Missouri","Hispanic","Yes",0.04,0.04,0.0277504757531367,19014.8435327608,0.0282295008655232,1.4169573946967
"Missouri","Native Hawaiian or Other Pacific Islander","Yes",,,0.000837952727425831,536.41975015042,,
"Missouri","White","Yes",0.84,0.866302729528536,0.840229917238847,519706.426210088,0.854733857067351,1.01353505815351
"Montana","American Indian or Alaska Native","",,,0.0443190585165387,6575.75575575576,,
"Montana","Asian","",,,0.00669973425456062,878.63963963964,,
"Montana","Black","",,,0.00314607380232448,448.377377377377,,
"Montana","Hispanic","",,,0.0276034558019982,3819.06606606607,,
"Montana","Native Hawaiian or Other Pacific Islander","",,,0.000671850348333018,85.945945945946,,
"Montana","White","",,,0.898667406362166,125978.236236236,,
"Nebraska","American Indian or Alaska Native","Yes",,,0.00606276145243098,1417.035953961,,
"Nebraska","Asian","Yes",0.03,0.0319148936170213,0.0206815765127222,5033.18012818,0.0210283589374691,1.51770728814002
"Nebraska","Black","Yes",0.03,0.029607201309329,0.0369878543380212,8646.300962142,0.0376080555013917,0.787256903198129
"Nebraska","Hispanic","Yes",0.07,0.07,0.069174658244704,17374.192728732,0.0703345580087467,0.995243333885668
"Nebraska","Native Hawaiian or Other Pacific Islander","Yes",,,0.000137668529008758,41.325225964,,
"Nebraska","White","Yes",0.88,0.86847790507365,0.856664732216852,172173.793284369,0.871029027552393,0.997071139539504
"Nevada","American Indian or Alaska Native","",0.01,0.0117647058823529,0.00859598918008825,3183.20920920921,0.00885933102585718,1.3279451741916
"Nevada","Asian","",0.11,0.129411764705882,0.0920255243228956,33770.7367367367,0.0948447660559101,1.36445868430521
"Nevada","Black","",0.05,0.0588235294117647,0.081241387343066,30333.4024024024,0.083730252376227,0.702536153210809
"Nevada","Hispanic","",0.16,0.188235294117647,0.214786292560951,81330.7977977978,0.221366363515424,0.850333768547141
"Nevada","Native Hawaiian or Other Pacific Islander","",,,0.00504175368622774,1878.22622622623,,
"Nevada","White","",0.52,0.611764705882353,0.573626006266616,207509.411411411,0.591199287026581,1.03478593311437
"New Hampshire","American Indian or Alaska Native","",,,0.000938353604940477,181.855855855856,,
"New Hampshire","Asian","",,,0.0223438950233821,4249.53853853854,,
"New Hampshire","Black","",,,0.0098906867142645,1756.4034034034,,
"New Hampshire","Hispanic","",,,0.0253655765284507,4924.26026026026,,
"New Hampshire","Native Hawaiian or Other Pacific Islander","",,,0.000602156634117348,102.097097097097,,
"New Hampshire","White","",,,0.929857312381575,174539.552552553,,
"New Jersey","American Indian or Alaska Native","",,,0.000947755599895436,1441.62626262626,,
"New Jersey","Asian","",0.09,0.102272727272727,0.0907814468129803,149722.838383838,0.0921692084738803,1.10961924232766
"New Jersey","Black","",0.06,0.0681818181818182,0.1159617638446,183014.565656566,0.117734453040944,0.579115258284732
"New Jersey","Hispanic","",0.08,0.0909090909090909,0.164460582198942,276749.323232323,0.166974665183047,0.544448409640056
"New Jersey","Native Hawaiian or Other Pacific Islander","",,,0.000314275223438246,496,,
"New Jersey","White","",0.65,0.738636363636364,0.613739533837085,883173.050505051,0.623121673302128,1.18538063316284
"New Mexico","American Indian or Alaska Native","",0.1,0.103092783505155,0.0757746310296135,63235.62150028,0.0768503516846575,1.34147445320977
"New Mexico","Asian","",0.02,0.0206185567010309,0.0159666289607182,13546.691834708,0.0161932962810481,1.27327730828726
"New Mexico","Black","",0.01,0.0103092783505155,0.0179131771110582,13869.561341016,0.0181674782452768,0.567457861313013
"New Mexico","Hispanic","",0.38,0.391752577319588,0.436496788707909,352401.218602694,0.442693435330839,0.88492971897543
"New Mexico","Native Hawaiian or Other Pacific Islander","",,,0.000347368985325405,304.060943018,,
"New Mexico","White","",0.46,0.474226804123711,0.439851171948645,271663.50284002,0.446095438458178,1.0630613165711
"New York","American Indian or Alaska Native","Yes",,,0.00217824172425661,5601.3013013013,,
"New York","Asian","Yes",0.12,0.121212121212121,0.0828879341569505,214158.611611612,0.0845947485139977,1.43285633377188
"New York","Black","Yes",0.1,0.0860675722744688,0.131273492099827,338812.145145145,0.133976653703438,0.642407239585058
"New York","Hispanic","Yes",0.13,0.13,0.157289756669272,411670.088088088,0.160528640803979,0.809824336323526
"New York","Native Hawaiian or Other Pacific Islander","Yes",,,0.000132321993987971,322.059059059059,,
"New York","White","Yes",0.77,0.66272030651341,0.60837245403689,1497719.63763764,0.620899956978585,1.06735440881383
"North Carolina","American Indian or Alaska Native","Yes",0.01,0.0105263157894737,0.0098988412537613,18739.9308617234,0.0100348673739585,1.04897408178911
"North Carolina","Asian","Yes",0.03,0.0315789473684211,0.0242127918743877,53285.6472945892,0.0245455148723006,1.28654654557919
"North Carolina","Black","Yes",0.17,0.169606709080393,0.192616302546508,362921.410821643,0.195263162684019,0.868605766438681
"North Carolina","Hispanic","Yes",0.05,0.05,0.0560380370861713,132581.24248497,0.056808090527063,0.880156321680629
"North Carolina","Native Hawaiian or Other Pacific Islander","Yes",,,0.000395782348753628,969.802605210421,,
