"state_name","race_grp","state_pop"
"South Carolina","Black",1028803
"South Carolina","Hispanic",193771
"South Carolina","Other",57119
"South Carolina","Asian",65976
"South Carolina","American Indian or Alaska Native",12964
"South Carolina","Native Hawaiian or Other Pacific Islander",5514
"South Dakota","White",559011
"South Dakota","Hispanic",21495
"South Dakota","American Indian or Alaska Native",43689
"South Dakota","Asian",8945
"South Dakota","Other",10764
"South Dakota","Black",13701
"South Dakota","Native Hawaiian or Other Pacific Islander",524
"Tennessee","White",4039150
"Tennessee","Hispanic",246660
"Tennessee","Black",845925
"Tennessee","Other",81772
"Tennessee","Asian",98630
"Tennessee","American Indian or Alaska Native",13869
"Tennessee","Native Hawaiian or Other Pacific Islander",1830
"Texas","Asian",1135492
"Texas","White",9641364
"Texas","Hispanic",8089217
"Texas","Black",2551058
"Texas","Other",328282
"Texas","Native Hawaiian or Other Pacific Islander",16174
"Texas","American Indian or Alaska Native",67866
"Utah","White",1847577
"Utah","Asian",62706
"Utah","Other",50632
"Utah","American Indian or Alaska Native",23778
"Utah","Hispanic",304196
"Utah","Black",21276
"Utah","Native Hawaiian or Other Pacific Islander",18287
"Vermont","White",467183
"Vermont","Asian",8561
"Vermont","Other",8741
"Vermont","Hispanic",8134
"Vermont","Black",5094
"Vermont","American Indian or Alaska Native",3729
"Vermont","Native Hawaiian or Other Pacific Islander",140
"Virginia","Black",1231124
"Virginia","White",4214446
"Virginia","Asian",458520
"Virginia","Hispanic",566092
"Virginia","Other",152900
"Virginia","American Indian or Alaska Native",11498
"Virginia","Native Hawaiian or Other Pacific Islander",3554
"Washington","White",4209967
"Washington","Hispanic",654442
"Washington","Black",219799
"Washington","Other",237090
"Washington","Asian",558342
"Washington","Native Hawaiian or Other Pacific Islander",36517
"Washington","American Indian or Alaska Native",64952
"West Virginia","White",1333069
"West Virginia","Black",46724
"West Virginia","Hispanic",17379
"West Virginia","Other",16279
"West Virginia","Asian",12164
"West Virginia","American Indian or Alaska Native",3429
"West Virginia","Native Hawaiian or Other Pacific Islander",50
"Wisconsin","White",3818086
"Wisconsin","Hispanic",268896
"Wisconsin","Black",255921
"Wisconsin","American Indian or Alaska Native",29895
"Wisconsin","Asian",127071
"Wisconsin","Other",57887
"Wisconsin","Native Hawaiian or Other Pacific Islander",3051
"Wyoming","American Indian or Alaska Native",8604
"Wyoming","White",382036
"Wyoming","Hispanic",39282
"Wyoming","Asian",3330
"Wyoming","Other",6816
"Wyoming","Black",3943
"Wyoming","Native Hawaiian or Other Pacific Islander",532
